Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","30/11/2021 07:05"
"Last updated:","30/11/2021 07:05"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Internally displaced persons"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=q58BNx
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://www.internal-displacement.org
"Population / Solution types included","REF,ROC,ASY,IDP,IOC,VDA,OOC or RET,RDP"
Years:
Origin:,all
"Country of asylum:"
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60","Female total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60","Male total",Total
2019,"Syrian Arab Rep.",SYR,-,-,380268,480702,396062,1994890,287124,3539046,396467,499734,412260,1992055,246628,3547144,7087000
2019,Colombia,COL,-,-,198462,279447,261146,1693885,404924,2837864,207996,292268,272543,1636023,328870,2737700,5576000
2019,"Dem. Rep. of the Congo",COD,-,-,482202,565288,384469,1189658,138599,2760216,491803,574765,389455,1176241,119212,2751476,5512000
2019,Yemen,YEM,-,-,245592,321524,241813,904240,90558,1803727,255830,334565,250711,911797,78004,1830907,3635000
2019,Afghanistan,AFG,-,-,212588,282785,222430,673133,66122,1457058,223506,296471,233348,722186,60201,1535712,2993000
2019,Somalia,SOM,-,-,233593,270415,195938,565655,61814,1327415,237092,273914,197938,552326,58648,1319918,2648000
2019,Nigeria,NGA,-,-,207517,249519,175802,580109,60998,1273945,217741,260646,182706,592402,55535,1309030,2583000
2019,Sudan,SDN,-,-,151991,191412,146248,513984,64145,1067780,156468,196668,149995,506149,56796,1066076,2134000
2019,Iraq,IRQ,-,-,100984,134000,97697,391524,43726,767931,107015,141578,103033,399682,35684,786992,1555000
2019,Ethiopia,ETH,-,-,101731,127081,97943,339152,40651,706558,104794,130266,99763,337947,34648,707418,1414000
2019,"South Sudan",SSD,-,-,101705,125863,92404,317919,37203,675094,104362,129003,94458,316469,32251,676543,1352000
2019,Turkey,TUR,-,-,41829,60946,51850,320495,81313,556433,43732,63734,54274,318501,62288,542529,1099000
2019,Cameroon,CMR,-,-,74359,92465,67240,227676,22560,484300,75819,94071,68153,227493,19055,484591,969000
2019,Ukraine,UKR,-,-,17126,28126,21116,214545,110836,391749,18144,29846,22451,206015,61744,338200,730000
2019,"Burkina Faso",BFA,-,-,45680,55432,39678,126323,13021,280134,47314,57441,41232,124823,8948,279758,560000
2019,India,IND,-,-,18954,27160,24524,130917,24216,225771,20853,29970,27353,142722,23332,244230,470000
2019,Myanmar,MMR,-,-,18739,26735,25131,139370,26777,236752,19117,27071,25299,129795,18932,220214,457000
2019,Libya,LBY,-,-,19891,29279,22648,134578,16806,223202,21007,30920,23830,137532,14311,227600,451000
2019,Bangladesh,BGD,-,-,18168,26161,23384,126830,16581,211124,18979,27289,24483,127714,17403,215868,427000
2019,Azerbaijan,AZE,-,-,13468,18627,12499,108091,22920,175605,15061,21431,14472,106394,17900,175258,351000
2019,Mexico,MEX,-,-,14324,20489,17607,102623,21185,176228,14995,21439,18311,96429,17591,168765,345000
2019,"Cote d'Ivoire",CIV,-,-,23572,28247,20964,70750,6674,150207,23871,28500,21056,71830,7501,152758,303000
2019,Georgia,GEO,-,-,9812,14114,9887,84232,39399,157444,10416,15322,11095,81288,25285,143406,301000
2019,Honduras,HND,-,-,12371,17010,15190,69089,9902,123562,12970,17734,15813,68590,8281,123388,247000
2019,Palestinian,PSE,-,-,16105,21394,15390,60559,6289,119737,16867,22346,16009,62275,5670,123167,243000
2019,Guatemala,GTM,-,-,13643,18182,15399,65799,9712,122735,14251,18993,16048,62151,7767,119210,242000
2019,Cyprus,CYP,-,-,5861,8507,7562,67682,24199,113811,6239,9075,8129,69572,20796,113811,228000
2019,Mali,MLI,-,-,18191,21755,15233,44117,4468,103764,18828,22515,15716,43582,3554,104195,208000
2019,Niger,NER,-,-,18907,21211,13985,38805,4036,96944,19656,21936,14452,38016,3972,98032,195000
2019,Philippines,PHL,-,-,8578,12825,10319,50087,8791,90600,9052,13475,10920,51071,6874,91392,182000
2019,Chad,TCD,-,-,15580,18334,12955,37504,3740,88113,15805,18452,12998,37407,3182,87844,176000
2019,Kenya,KEN,-,-,10503,14534,11494,41176,3793,81500,10720,14742,11663,40426,2944,80495,162000
2019,Congo,COG,-,-,9861,12703,9108,32012,3328,67012,10080,12922,9230,31988,2696,66916,134000
2019,Mozambique,MOZ,-,-,9027,10952,8063,25565,2932,56539,9115,11012,8014,23418,1886,53445,110000
2019,Pakistan,PAK,-,-,6456,8108,6267,27097,3523,51451,6962,8731,6780,28454,3620,54547,106000
2019,"Bosnia and Herzegovina",BIH,-,-,1932,3441,2988,28130,13975,50466,2052,3622,3139,28583,11047,48443,99000
2019,Egypt,EGY,-,-,5847,7571,4974,25320,4280,47992,6188,8048,5274,25798,3699,49007,97000
2019,Peru,PER,-,-,2517,3368,2857,17535,3914,30191,2637,3356,2742,17475,3590,29800,60000
2019,Thailand,THA,-,-,1025,1557,1450,12652,4364,21048,1087,1649,1533,12169,3513,19951,41000
2019,Indonesia,IDN,-,-,1691,2400,1965,11676,2128,19860,1768,2512,2084,11878,1897,20139,40000
2019,Uganda,UGA,-,-,2698,3345,2388,7193,600,16224,2755,3403,2420,6762,432,15772,32000
2019,"Sri Lanka",LKA,-,-,1029,1482,1290,7744,2508,14053,1064,1516,1291,7145,1928,12944,27000
2019,Burundi,BDI,-,-,1966,2362,1567,5181,509,11585,2006,2395,1575,5009,426,11411,23000
2019,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,-,-,370,553,533,4436,2269,8161,396,592,570,4495,1782,7835,16000
2019,"Papua New Guinea",PNG,-,-,836,1094,873,3606,441,6850,895,1169,931,3753,397,7145,14000
2019,Senegal,SEN,-,-,646,816,573,2030,234,4299,665,838,585,1839,170,4097,8400
2019,Lebanon,LBN,-,-,284,395,335,2057,404,3475,296,436,358,2054,379,3523,7000
2019,"Sierra Leone",SLE,-,-,398,508,386,1319,143,2754,400,509,388,1336,111,2744,5500
2019,Benin,BEN,-,-,287,347,251,863,104,1852,295,357,258,854,83,1847,3700
2019,Madagascar,MDG,-,-,220,269,205,728,80,1502,225,275,207,720,70,1497,3000
2019,Haiti,HTI,-,-,114,156,128,576,89,1063,118,161,131,551,74,1035,2100
2019,Togo,TGO,-,-,147,186,139,483,50,1005,148,187,140,477,43,995,2000
2019,"Russian Federation",RUS,-,-,56,77,55,519,259,966,59,81,58,493,144,835,1800
2019,"South Africa",ZAF,-,-,12,17,13,72,13,127,12,17,13,72,9,123,250
2019,Ghana,GHA,-,-,15,19,14,58,6,112,16,20,15,60,6,117,230
2019,Malawi,MWI,-,-,11,15,11,35,4,76,12,15,11,34,3,75,150
2019,"North Macedonia",MKD,-,-,4,5,5,41,16,71,4,6,5,42,13,70,140
2019,"Bolivia (Plurinational State of)",BOL,-,-,2,2,2,8,2,16,2,2,2,8,2,16,31
2019,Tunisia,TUN,-,-,0,0,0,1,0,1,0,0,0,1,0,1,4
